,amount,floor_number,rooms_number,size,month,year,Wartość
308,749790.0,10,3,58.0,10,2025,2.799999999999997
309,736103.55,4,2,42.33,10,2025,2.799999999999997
310,560449.0,6,1,31.31,10,2025,2.799999999999997
311,1235000.0,4,4,61.4,10,2025,2.799999999999997
312,740000.0,5,3,48.9,10,2025,2.799999999999997
313,1250000.0,5,3,66.86,10,2025,2.799999999999997
314,650000.0,6,3,36.3,10,2025,2.799999999999997
315,520000.0,1,2,33.6,10,2025,2.799999999999997
316,545000.0,3,2,35.82,10,2025,2.799999999999997
317,800000.0,2,3,58.4,10,2025,2.799999999999997
318,675000.0,4,4,50.6,10,2025,2.799999999999997
319,898000.0,2,3,58.02,10,2025,2.799999999999997
320,975000.0,2,3,51.8,10,2025,2.799999999999997
321,675000.0,10,3,36.6,10,2025,2.799999999999997
322,1240000.0,1,3,68.94,10,2024,5.0
323,280000.0,4,2,24.34,10,2025,2.799999999999997
324,355000.0,4,1,31.0,10,2025,2.799999999999997
325,1020000.0,2,4,72.8,10,2025,2.799999999999997
326,760000.0,1,3,49.0,10,2025,2.799999999999997
327,545000.0,3,2,33.33,10,2025,2.799999999999997
328,543327.0,2,2,33.22,10,2025,2.799999999999997
329,435081.0,7,2,34.41,10,2025,2.799999999999997
330,410000.0,4,2,38.17,10,2025,2.799999999999997
331,760845.8,4,2,50.9,10,2025,2.799999999999997
332,901021.0,6,3,63.68,10,2025,2.799999999999997
333,950000.0,1,4,76.1,10,2025,2.799999999999997
334,1088560.0,7,3,61.27,10,2025,2.799999999999997
335,658246.8,3,2,41.31,10,2025,2.799999999999997
336,670408.5,5,2,41.16,10,2025,2.799999999999997
337,1304577.03,3,3,78.92,10,2025,2.799999999999997
338,1206732.69,5,4,78.86,10,2025,2.799999999999997
339,1253336.7,5,4,76.73,10,2025,2.799999999999997
340,770849.7,3,3,48.35,10,2025,2.799999999999997
341,825599.96,7,4,75.99,10,2025,2.799999999999997
342,791110.79,3,4,68.42,10,2025,2.799999999999997
343,702200.0,7,3,55.6,10,2025,2.799999999999997
344,782981.09,2,3,55.57,10,2025,2.799999999999997
345,602919.0,6,2,40.03,10,2025,2.799999999999997
346,647972.0,5,2,44.67,10,2025,2.799999999999997
347,399087.36,6,1,28.28,10,2025,2.799999999999997
348,1070000.0,2,4,90.0,10,2025,2.799999999999997
349,600000.0,4,2,35.88,10,2025,2.799999999999997
350,870000.0,2,2,42.52,10,2025,2.799999999999997
351,1285075.0,2,5,82.59,10,2025,2.799999999999997
352,798384.15,4,3,47.1,10,2025,2.799999999999997
353,716377.68,3,2,42.76,10,2025,2.799999999999997
354,790000.0,1,3,59.97,10,2025,2.799999999999997
355,637000.0,1,2,34.95,8,2024,4.299999999999997
356,780000.0,6,4,54.9,8,2023,10.099999999999994
357,640000.0,3,3,58.5,10,2025,2.799999999999997
358,583000.0,11,2,41.7,10,2025,2.799999999999997
359,430000.0,4,2,29.96,2,2017,2.200000000000003
360,699800.46,4,3,59.81,10,2025,2.799999999999997
361,523925.3,1,2,34.29,10,2025,2.799999999999997
362,659353.6,3,2,43.75,10,2025,2.799999999999997
363,642715.83,6,2,43.77,10,2025,2.799999999999997
364,633829.62,3,2,43.78,10,2025,2.799999999999997
365,818089.61,6,3,54.83,10,2025,2.799999999999997
366,398720.4,4,2,25.14,10,2025,2.799999999999997
367,900000.0,4,1,65.1,10,2025,2.799999999999997
368,708281.0,3,3,57.11,10,2025,2.799999999999997
369,1014786.0,1,4,87.82,10,2025,2.799999999999997
370,515713.27,2,2,41.95,10,2025,2.799999999999997
371,692238.6,3,3,52.67,10,2025,2.799999999999997
372,659959.61,4,3,53.29,10,2025,2.799999999999997
373,607898.92,3,3,47.6,10,2025,2.799999999999997
374,1283549.0,7,3,60.5,10,2025,2.799999999999997
375,543353.0,3,2,38.62,10,2025,2.799999999999997
376,700354.0,6,3,53.11,10,2025,2.799999999999997
377,679711.5,3,3,53.19,10,2025,2.799999999999997
378,549411.6,6,2,38.86,10,2025,2.799999999999997
379,557900.0,3,2,43.48,10,2025,2.799999999999997
380,613376.0,1,2,44.52,10,2025,2.799999999999997
381,982565.34,4,4,77.83,10,2025,2.799999999999997
382,439775.0,3,1,25.13,10,2025,2.799999999999997
383,531521.53,2,1,27.25,10,2025,2.799999999999997
384,583680.0,3,1,31.9,10,2025,2.799999999999997
385,1077398.4,2,3,54.41,10,2025,2.799999999999997
386,568974.72,3,2,38.57,10,2025,2.799999999999997
387,624819.33,7,2,38.57,10,2025,2.799999999999997
388,786468.79,7,3,59.67,10,2025,2.799999999999997
389,1050000.0,8,2,55.62,10,2025,2.799999999999997
